,precision,recall,f1-score,support
Negative,0.8365019011406845,0.8058608058608059,0.8208955223880597,546.0
Neutral,0.5697211155378487,0.6230936819172114,0.595213319458897,459.0
Positive,0.9283196239717979,0.9154113557358053,0.9218203033838973,1726.0
micro avg,0.8446886446886447,0.8443793482240938,0.8445339681377038,2731.0
macro avg,0.778180880216777,0.7814552811712742,0.7793097150769513,2731.0
weighted avg,0.8496930432186046,0.8443793482240938,0.846749803184226,2731.0
