,precision,recall,f1-score,support
Negative,0.8481973434535104,0.8186813186813187,0.8331780055917987,546.0
Neutral,0.58,0.6318082788671024,0.6047966631908238,459.0
Positive,0.9272300469483568,0.9154113557358053,0.9212827988338192,1726.0
accuracy,0.8484071768582937,0.8484071768582937,0.8484071768582937,0.8484071768582937
macro avg,0.785142463467289,0.7886336510947421,0.7864191558721473,2731.0
weighted avg,0.85307023455089,0.8484071768582937,0.8504763713822343,2731.0
