,precision,recall,f1-score,support
Negative,0.7954545454545454,0.8333333333333334,0.813953488372093,546.0
Neutral,0.5260223048327137,0.616557734204793,0.567703109327984,459.0
Positive,0.9125,0.8881807647740441,0.9001761597181445,1726.0
Conflict,0.6521739130434783,0.18292682926829268,0.2857142857142857,82.0
accuracy,0.81265552790615,0.81265552790615,0.81265552790615,0.81265552790615
macro avg,0.7215376908326843,0.6302496653951158,0.6418867607831268,2813.0
weighted avg,0.8191310631375622,0.81265552790615,0.8112786899874853,2813.0
