,precision,recall,f1-score,support
Negative,0.7783687943262412,0.8040293040293041,0.790990990990991,546.0
Neutral,0.502835538752363,0.579520697167756,0.5384615384615384,459.0
Positive,0.9093064611736811,0.8887601390498262,0.8989159097568122,1726.0
Conflict,0.6060606060606061,0.24390243902439024,0.34782608695652173,82.0
accuracy,0.8030572342694632,0.8030572342694632,0.8030572342694632,0.8030572342694632
macro avg,0.6991428500782227,0.6290531448178192,0.6440486315414657,2813.0
weighted avg,0.8087276202176343,0.8030572342694632,0.8030876383240739,2813.0
