,precision,recall,f1-score,support
Negative,0.7939609236234458,0.8186813186813187,0.806131650135257,546.0
Neutral,0.5202205882352942,0.616557734204793,0.5643070787637089,459.0
Positive,0.9169157202630006,0.8887601390498262,0.902618417181524,1726.0
Conflict,0.696969696969697,0.2804878048780488,0.4,82.0
accuracy,0.8130110202630644,0.8130110202630644,0.8130110202630644,0.8130110202630644
macro avg,0.7320167322728595,0.6511217492034966,0.6682642865201225,2813.0
weighted avg,0.82190969165441,0.8130110202630644,0.8140363377823333,2813.0
