,precision,recall,f1-score,support
Negative,0.7939609236234458,0.8186813186813187,0.806131650135257,546.0
Neutral,0.5202205882352942,0.616557734204793,0.5643070787637089,459.0
Positive,0.9169157202630006,0.8887601390498262,0.902618417181524,1726.0
micro avg,0.814388489208633,0.8290003661662395,0.8216294683360552,2731.0
macro avg,0.7436990773739135,0.7746663973119793,0.7576857153601634,2731.0
weighted avg,0.8256610939115123,0.8290003661662395,0.82646804034482,2731.0
