,precision,recall,f1-score,support
Negative,0.7954545454545454,0.8333333333333334,0.813953488372093,546.0
Neutral,0.5260223048327137,0.616557734204793,0.567703109327984,459.0
Positive,0.9125,0.8881807647740441,0.9001761597181445,1726.0
micro avg,0.8139784946236559,0.8315635298425486,0.82267705125883,2731.0
macro avg,0.744658950095753,0.7793572774373901,0.7606109191394071,2731.0
weighted avg,0.824144057025411,0.8315635298425486,0.8270590931915872,2731.0
