,precision,recall,f1-score,support
Negative,0.7783687943262412,0.8040293040293041,0.790990990990991,546.0
Neutral,0.502835538752363,0.579520697167756,0.5384615384615384,459.0
Positive,0.9093064611736811,0.8887601390498262,0.8989159097568122,1726.0
micro avg,0.8053956834532374,0.8198462101794215,0.8125567047722736,2731.0
macro avg,0.7301702647507616,0.7574367134156287,0.7427894797364472,2731.0
weighted avg,0.8148128253296361,0.8198462101794215,0.8167571539638173,2731.0
