,precision,recall,f1-score,support
Negative,0.7457627118644068,0.08058608058608059,0.14545454545454545,546.0
Neutral,0.5121951219512195,0.1830065359477124,0.2696629213483146,459.0
Positive,0.9514824797843666,0.20451911935110081,0.3366714353838817,1726.0
micro avg,0.8097643097643098,0.1761259611863786,0.2893233082706767,2731.0
macro avg,0.736480104533331,0.15603724529496463,0.2505963007289139,2731.0
weighted avg,0.8365224319887926,0.1761259611863786,0.28717991951286637,2731.0
