,precision,recall,f1-score,support
Negative,0.8336633663366336,0.7710622710622711,0.8011417697431018,546.0
Neutral,0.5338078291814946,0.6535947712418301,0.5876591576885406,459.0
Positive,0.9332932692307693,0.8997682502896871,0.9162241887905604,1726.0
accuracy,0.8326620285609667,0.8326620285609667,0.8326620285609667,0.8326620285609667
macro avg,0.7669214882496326,0.774808430864596,0.768341705407401,2731.0
weighted avg,0.8462329455534294,0.8326620285609667,0.8379941082062545,2731.0
