,precision,recall,f1-score,support
Negative,0.8571428571428571,0.7802197802197802,0.8168744007670182,546.0
Neutral,0.514820592823713,0.7189542483660131,0.6,459.0
Positive,0.9502205419029616,0.8736964078794901,0.9103531542408693,1726.0
micro avg,0.8308256880733945,0.8290003661662395,0.8299120234604106,2731.0
macro avg,0.7740613306231773,0.7909568121550944,0.7757425183359624,2731.0
weighted avg,0.8584340195644803,0.8290003661662395,0.8395031003436588,2731.0
